,contextFold,contrafold,e2efold,ipknot,mxfold,mxfold2,rna-state-inf,rna-structure,rnafold,spot-rna,ufold
1E95_14_A,0.562,0.562,0.0,0.562,0.562,0.562,0.562,0.406,0.562,0.795,0.795
1EBQ_1_A,0.877,0.836,0.21,0.877,0.877,0.877,0.877,0.832,0.877,0.92,0.881
1EBR_1_A,0.877,0.836,0.419,0.877,0.789,0.877,0.877,0.832,0.877,0.923,0.881
1EBS_1_A,0.877,0.836,0.21,0.877,0.877,0.877,0.877,0.832,0.877,0.92,0.881
1EC6_1_C,0.816,0.816,0.0,0.816,0.816,0.816,0.816,0.707,0.816,0.816,0.816
1EC6_1_D,0.894,0.894,0.0,0.894,0.894,0.894,0.894,0.775,0.894,0.894,0.894
1EFW_1_C,0.696,0.405,0.28,0.54,0.325,0.789,0.298,0.298,0.396,0.851,0.83
1EFW_1_D,0.653,0.38,0.262,0.506,0.305,0.74,0.28,0.28,0.371,0.798,0.778
1EHT_3_A,0.674,0.607,0.213,0.579,0.564,0.607,0.607,0.569,0.607,0.677,0.615
1EHZ_1_A,0.377,0.506,0.07,0.442,0.39,0.836,0.365,0.191,0.365,0.646,0.431
1EI2_9_A,0.882,1.0,0.298,1.0,0.943,1.0,0.882,0.882,1.0,1.0,1.0
1EIY_1_C,0.81,0.754,0.81,0.737,0.649,0.791,0.81,0.791,0.772,0.901,0.81
1EKA_1_A-B,0.791,1.0,0.354,0.866,0.866,0.866,0.707,0.791,0.866,0.935,0.935
1EKD_1_A-B,0.791,1.0,0.408,0.866,0.354,0.866,0.866,0.0,0.866,0.791,0.935
1EKZ_4_B,0.874,0.874,0.162,0.874,0.874,0.874,0.874,0.84,0.874,0.907,0.907
1ELH_1_B-A,0.686,0.767,0.0,0.767,0.728,0.767,0.728,0.767,0.767,0.767,0.767
1ESH_1_A,0.791,0.791,0.0,0.791,0.791,0.791,0.791,0.707,0.791,0.791,0.791
1ESY_2_A,0.603,0.798,0.0,0.798,0.674,0.798,0.798,0.798,0.798,0.798,0.798
1ET4_1_A,0.0,0.092,0.0,0.323,0.092,0.364,0.092,0.092,0.092,0.658,0.325
1ET4_1_B,0.0,0.092,0.0,0.323,0.092,0.364,0.092,0.092,0.092,0.658,0.325
1ET4_1_C,0.0,0.089,0.0,0.314,0.089,0.354,0.089,0.089,0.089,0.711,0.316
1ET4_1_D,0.0,0.094,0.0,0.333,0.094,0.375,0.094,0.094,0.094,0.678,0.335
1ET4_1_E,0.0,0.092,0.0,0.323,0.092,0.364,0.092,0.092,0.092,0.658,0.325
1ETF_1_A,0.866,0.832,0.306,0.866,0.794,0.866,0.866,0.866,0.866,0.935,0.832
1ETG_14_A,0.84,0.807,0.297,0.84,0.77,0.84,0.84,0.84,0.84,0.907,0.807
1EUQ_1_B,0.717,0.574,0.351,0.62,0.717,0.717,0.331,0.368,0.538,0.788,0.679
1EUY_1_B,0.748,0.708,0.381,0.624,0.606,0.748,0.345,0.383,0.561,0.822,0.748
1EVV_1_A,0.377,0.506,0.07,0.442,0.39,0.836,0.365,0.191,0.365,0.646,0.431
1EXD_1_B,0.759,0.594,0.419,0.639,0.759,0.759,0.371,0.371,0.557,0.835,0.719
1EXY_1_A,0.739,0.739,0.0,0.739,0.643,0.739,0.739,0.707,0.739,0.769,0.739
1F1T_1_A,0.655,0.661,0.239,0.463,0.567,0.802,0.546,0.359,0.359,0.756,0.624
1F27_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1F5G_1_A-B,0.645,0.0,0.167,0.0,0.236,0.707,0.707,0.0,0.645,0.816,0.289
1F5H_1_A-B,0.707,0.0,0.183,0.0,0.258,0.775,0.775,0.0,0.707,0.894,0.316
1F5U_1_A,0.837,0.837,0.183,0.837,0.837,0.837,0.837,0.775,0.837,0.837,0.837
1F5U_1_B,0.798,0.798,0.174,0.798,0.798,0.798,0.798,0.739,0.798,0.798,0.798
1F6U_2_B,0.577,0.816,0.236,0.68,0.667,0.816,0.816,0.816,0.816,0.745,0.471
1F6X_1_A,0.886,0.886,0.134,0.886,0.886,0.886,0.886,0.845,0.886,0.926,0.926
1F6Z_1_A,0.778,0.856,0.115,0.856,0.856,0.778,0.856,0.816,0.856,0.894,0.82
1F78_1_A,0.92,0.92,0.139,0.92,0.92,0.92,0.92,0.877,0.92,0.961,0.961
1F79_1_A,0.778,0.856,0.115,0.856,0.856,0.778,0.856,0.816,0.856,0.894,0.82
1F7F_3_A,0.886,0.886,0.134,0.886,0.886,0.886,0.886,0.845,0.886,0.926,0.926
1F7G_1_A,0.806,0.886,0.12,0.886,0.886,0.806,0.886,0.845,0.886,0.926,0.849
1F7H_5_A,0.886,0.886,0.134,0.886,0.886,0.886,0.886,0.845,0.886,0.926,0.926
1F7I_2_A,0.731,0.804,0.108,0.804,0.804,0.731,0.804,0.767,0.804,0.84,0.77
1F7U_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1F7V_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1F7Y_1_B,0.722,0.529,0.167,0.473,0.696,0.795,0.59,0.289,0.59,0.904,0.544
1F84_10_A,0.649,0.607,0.205,0.607,0.513,0.607,0.607,0.562,0.607,0.649,0.649
1F85_1_A,0.745,0.745,0.0,0.745,0.745,0.745,0.745,0.667,0.745,0.745,0.745
1F9L_1_A,0.798,0.798,0.452,0.798,0.798,0.798,0.798,0.739,0.798,0.853,0.798
1FCW_1_A,0.369,0.495,0.068,0.433,0.382,0.818,0.357,0.187,0.357,0.632,0.421
1FCW_1_B,0.369,0.495,0.068,0.433,0.382,0.818,0.357,0.187,0.357,0.632,0.421
1FCW_1_C,0.369,0.495,0.068,0.433,0.382,0.818,0.357,0.187,0.357,0.632,0.421
1FCW_1_D,0.369,0.495,0.068,0.433,0.382,0.818,0.357,0.187,0.357,0.632,0.421
1FCW_1_E,0.369,0.495,0.068,0.433,0.382,0.818,0.357,0.187,0.357,0.632,0.421
1FEQ_1_A,0.845,0.845,0.378,0.845,0.845,0.845,0.845,0.756,0.845,0.926,0.845
1FEU_1_C-B,0.767,0.84,0.0,0.514,0.767,0.0,0.0,0.0,0.804,0.97,0.84
1FEU_1_F-E,0.767,0.84,0.0,0.514,0.767,0.0,0.0,0.0,0.804,0.97,0.84
1FFK_1_9,0.697,0.618,0.697,0.627,0.591,0.594,0.603,0.315,0.618,0.75,0.697
1FFY_1_T,0.778,0.779,0.798,0.722,0.798,0.798,0.239,0.391,0.239,0.888,0.798
1FFZ_1_A,0.619,0.542,0.03,0.44,0.6,0.419,0.44,0.401,0.467,0.475,0.401
1FG0_1_A,0.634,0.555,0.031,0.45,0.615,0.429,0.45,0.412,0.484,0.487,0.411
1FHK_4_A,0.894,0.894,0.316,0.894,0.894,0.894,0.894,0.775,0.894,0.894,0.894
1FIR_1_A,0.0,0.413,0.0,0.283,0.0,0.229,0.424,0.2,0.413,0.402,0.25
1FJE_1_A,0.667,0.667,0.192,0.667,0.667,0.667,0.667,0.577,0.667,0.68,0.745
1FL8_1_A,0.894,0.894,0.0,0.894,0.894,0.894,0.894,0.775,0.894,0.894,0.894
1FMN_1_A,0.707,0.45,0.0,0.532,0.674,0.674,0.674,0.64,0.674,0.769,0.739
1FOQ_1_A,0.853,0.918,0.078,0.878,0.819,0.918,0.907,0.823,0.918,0.829,0.727
1FOQ_1_B,0.853,0.918,0.078,0.878,0.819,0.918,0.907,0.823,0.918,0.829,0.727
1FOQ_1_C,0.853,0.918,0.078,0.878,0.819,0.918,0.907,0.823,0.918,0.829,0.727
1FOQ_1_D,0.853,0.918,0.078,0.878,0.819,0.918,0.907,0.823,0.918,0.829,0.727
1FOQ_1_E,0.853,0.918,0.078,0.878,0.819,0.918,0.907,0.823,0.918,0.829,0.727
1FQZ_1_A,0.764,0.707,0.258,0.707,0.577,0.707,0.707,0.0,0.707,0.764,0.764
1FUF_1_A-B,0.0,0.0,0.21,0.0,0.0,0.372,0.0,0.0,0.0,0.0,0.49
1FYO_1_A,0.728,0.728,0.198,0.686,0.686,0.686,0.686,0.642,0.728,0.804,0.767
1FYP_1_A,0.707,0.707,0.192,0.667,0.667,0.667,0.667,0.624,0.707,0.782,0.745
1G1X_1_D-E,0.66,0.681,0.111,0.674,0.7,0.738,0.567,0.348,0.577,0.73,0.588
1G1X_1_J-I,0.651,0.672,0.055,0.528,0.677,0.715,0.559,0.343,0.569,0.756,0.559
1G2E_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1G59_1_B,0.786,0.768,0.786,0.768,0.731,0.768,0.585,0.561,0.768,0.84,0.786
1G59_1_D,0.764,0.746,0.764,0.746,0.711,0.746,0.569,0.546,0.746,0.816,0.764
1G70_1_A,0.804,0.77,0.198,0.728,0.767,0.804,0.804,0.767,0.804,0.843,0.807
1GAX_1_C,0.786,0.786,0.786,0.731,0.748,0.786,0.786,0.412,0.786,0.874,0.786
1GAX_1_D,0.823,0.823,0.823,0.766,0.784,0.823,0.823,0.431,0.823,0.916,0.823
1GID_1_A,0.671,0.648,0.0,0.647,0.345,0.483,0.559,0.628,0.637,0.465,0.605
1GID_1_B,0.667,0.645,0.0,0.643,0.343,0.48,0.555,0.624,0.633,0.462,0.602
1GRZ_1_A,0.646,0.618,0.09,0.627,0.48,0.57,0.617,0.425,0.58,0.48,0.614
1GRZ_1_B,0.656,0.622,0.102,0.631,0.502,0.58,0.631,0.443,0.602,0.51,0.622
1GTR_1_B,0.748,0.748,0.458,0.644,0.748,0.748,0.337,0.575,0.748,0.84,0.748
1GTS_1_B,0.759,0.759,0.465,0.653,0.759,0.759,0.342,0.584,0.759,0.853,0.759
1GUC_1_A-B,0.707,1.0,0.177,0.866,0.866,0.866,0.707,0.0,0.866,0.935,0.866
1H3E_1_B,0.297,0.472,0.447,0.418,0.552,0.775,0.607,0.626,0.775,0.806,0.674
1H4Q_1_T,0.802,0.423,0.275,0.488,0.472,0.401,0.619,0.65,0.267,0.825,0.718
1H4S_1_T,0.788,0.415,0.27,0.479,0.464,0.394,0.608,0.639,0.263,0.851,0.706
1HC8_1_C,0.696,0.696,0.0,0.58,0.514,0.36,0.36,0.72,0.696,0.638,0.674
1HC8_1_D,0.683,0.683,0.0,0.57,0.505,0.354,0.354,0.707,0.683,0.627,0.661
1HJI_1_A,0.913,0.913,0.0,0.913,0.73,0.913,0.913,0.913,0.913,0.913,0.73
1HLX_1_A,0.756,0.756,0.359,0.756,0.756,0.756,0.756,0.707,0.756,0.802,0.802
1HMH_1_A,0.667,0.667,0.149,0.667,0.667,0.667,0.667,0.667,0.667,0.745,0.745
1HMH_1_C,0.667,0.667,0.149,0.667,0.667,0.667,0.667,0.667,0.667,0.745,0.745
1HMH_1_E,0.707,0.707,0.158,0.707,0.707,0.707,0.707,0.707,0.707,0.791,0.791
1HQ1_1_B,0.845,0.845,0.109,0.787,0.787,0.845,0.845,0.845,0.845,0.951,0.845
1HR2_1_A,0.691,0.649,0.0,0.628,0.553,0.493,0.552,0.406,0.646,0.418,0.597
1HR2_1_B,0.655,0.624,0.0,0.604,0.588,0.478,0.533,0.251,0.606,0.408,0.595
1HS1_1_A,0.775,0.775,0.0,0.775,0.775,0.775,0.775,0.0,0.775,0.894,0.775
1HS2_1_A,0.775,0.775,0.0,0.775,0.775,0.775,0.775,0.0,0.775,0.775,0.775
1HS3_1_A,0.775,0.775,0.0,0.775,0.775,0.775,0.775,0.0,0.775,0.894,0.775
1HS4_1_A,0.866,0.866,0.0,0.866,0.866,0.866,0.866,0.0,0.866,0.866,0.866
1HS8_1_A,0.775,0.775,0.0,0.775,0.775,0.775,0.775,0.0,0.775,0.775,0.775
1HVU_1_C,0.546,0.655,0.0,0.802,0.655,0.598,0.598,0.598,0.598,0.845,0.802
1HVU_1_F,0.546,0.655,0.0,0.802,0.655,0.598,0.598,0.598,0.598,0.845,0.802
1HVU_1_I,0.546,0.655,0.0,0.802,0.655,0.598,0.598,0.598,0.598,0.845,0.802
1HVU_1_L,0.546,0.655,0.0,0.802,0.655,0.598,0.598,0.598,0.598,0.845,0.802
1HWQ_1_A,0.832,0.832,0.105,0.832,0.784,0.832,0.832,0.784,0.832,0.832,0.832
1I3X_1_A,0.935,0.935,0.354,0.935,0.935,0.935,0.935,0.866,0.935,0.935,0.935
1I3Y_8_A,0.837,0.783,0.224,0.837,0.837,0.837,0.837,0.775,0.837,0.783,0.783
1I46_1_A,0.791,0.791,0.354,0.791,0.791,0.791,0.791,0.707,0.791,0.791,0.791
1I4B_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1I4C_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1I6U_1_C,0.866,0.727,0.071,0.777,0.808,0.751,0.751,0.717,0.751,0.894,0.783
1I6U_1_D,0.866,0.727,0.071,0.777,0.808,0.751,0.751,0.717,0.751,0.894,0.783
1I9F_5_A,0.84,0.807,0.297,0.84,0.77,0.84,0.84,0.804,0.84,0.907,0.807
1I9V_1_A,0.796,0.503,0.645,0.584,0.503,0.816,0.796,0.215,0.816,0.856,0.816
1I9X_1_A-B,0.606,0.926,0.109,0.845,0.802,0.676,0.761,0.713,0.761,0.886,0.926
1IBL_1_Y-Z,0.632,0.645,0.224,0.707,0.566,0.707,0.707,0.566,0.645,0.645,0.775
1IBM_1_Y-Z,0.535,0.0,0.267,0.655,0.436,0.0,0.0,0.0,0.0,0.655,0.567
1ICG_1_A-B,0.612,0.5,0.0,0.316,0.0,0.612,0.0,0.0,0.0,0.0,0.791
1ID9_1_A-B,0.612,0.5,0.0,0.316,0.0,0.612,0.0,0.0,0.0,0.0,0.791
1IDV_1_A,0.866,0.75,0.5,0.866,0.866,0.866,0.866,0.0,0.866,0.75,0.75
1IDW_1_A-B,0.612,0.5,0.0,0.316,0.0,0.612,0.0,0.0,0.0,0.0,0.791
1IE1_4_A,0.632,0.632,0.183,0.632,0.632,0.632,0.632,0.548,0.632,0.775,0.707
1IE2_16_A,0.603,0.603,0.174,0.603,0.603,0.603,0.603,0.522,0.603,0.739,0.674
1IHA_1_A-B,0.612,0.5,0.0,0.316,0.0,0.612,0.0,0.0,0.0,0.0,0.791
1IK1_1_A,0.845,0.845,0.0,0.845,0.845,0.845,0.845,0.756,0.845,0.845,0.845
1IK5_1_A-B,0.0,0.0,0.218,0.0,0.0,0.612,0.0,0.0,0.0,0.0,0.577
1IKD_24_A,0.935,0.935,0.204,0.935,0.935,0.935,0.935,0.866,0.935,0.935,0.935
1IL2_1_C,0.542,0.472,0.059,0.274,0.365,0.568,0.277,0.27,0.424,0.733,0.424
1IL2_1_D,0.523,0.359,0.17,0.272,0.305,0.55,0.247,0.241,0.402,0.677,0.464
1IVS_1_C,0.786,0.786,0.786,0.731,0.748,0.786,0.786,0.412,0.786,0.874,0.786
1IVS_1_D,0.823,0.823,0.823,0.766,0.784,0.823,0.823,0.431,0.823,0.916,0.823
1J1U_1_B,0.743,0.223,0.743,0.43,0.447,0.743,0.695,0.389,0.743,0.843,0.743
1J2B_1_C,0.825,0.85,0.76,0.786,0.786,0.76,0.64,0.262,0.612,0.768,0.76
1J2B_1_D,0.809,0.819,0.241,0.839,0.774,0.746,0.667,0.273,0.326,0.774,0.786
1J4Y_1_A,0.745,0.756,0.333,0.816,0.68,0.756,0.816,0.68,0.756,0.756,0.882
1J7T_1_A-B,0.837,0.894,0.169,0.742,0.742,0.837,0.837,0.682,0.717,0.806,0.777
1J9H_1_A-B,0.603,0.456,0.0,0.539,0.539,0.539,0.539,0.539,0.539,0.492,0.213
1J9H_1_C-D,0.632,0.478,0.0,0.566,0.566,0.566,0.566,0.566,0.566,0.516,0.224
1JBR_1_C-F,0.707,0.624,0.134,0.707,0.707,0.592,0.707,0.567,0.592,0.624,0.707
1JBR_1_D,0.707,0.676,0.218,0.707,0.756,0.676,0.756,0.655,0.592,0.676,0.694
1JBS_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378,0.0
1JBS_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.378,0.0
1JBT_1_C,0.62,0.588,0.0,0.679,0.734,0.647,0.734,0.62,0.555,0.588,0.679
1JBT_1_D,0.598,0.567,0.0,0.655,0.707,0.624,0.707,0.598,0.535,0.567,0.655
1JGO_1_B,0.399,0.533,0.071,0.465,0.414,0.854,0.385,0.196,0.385,0.661,0.452
1JGO_1_C,0.342,0.48,0.071,0.414,0.355,0.804,0.33,0.196,0.33,0.606,0.402
1JGO_1_D,0.185,0.392,0.0,0.479,0.677,0.653,0.718,0.359,0.659,0.72,0.697
1JGP_1_B,0.399,0.533,0.071,0.465,0.414,0.854,0.385,0.196,0.385,0.661,0.452
1JGP_1_C,0.342,0.48,0.071,0.414,0.355,0.804,0.33,0.196,0.33,0.606,0.402
1JGP_1_D,0.185,0.392,0.0,0.479,0.677,0.653,0.718,0.359,0.659,0.72,0.697
1JGQ_1_B,0.399,0.533,0.071,0.465,0.414,0.854,0.385,0.196,0.385,0.661,0.452
1JGQ_1_C,0.342,0.48,0.071,0.414,0.355,0.804,0.33,0.196,0.33,0.606,0.402
1JGQ_1_D,0.185,0.392,0.0,0.479,0.677,0.653,0.718,0.359,0.659,0.72,0.697
1JID_1_B,0.447,0.447,0.183,0.447,0.447,0.447,0.447,0.447,0.447,0.478,0.447
1JJ2_1_9,0.707,0.627,0.707,0.636,0.6,0.603,0.612,0.319,0.627,0.761,0.707
1JO7_18_A,0.92,0.92,0.196,0.877,0.92,0.877,0.877,0.877,0.92,0.92,0.836
1JOX_1_A,0.882,0.882,0.192,0.882,0.882,0.882,0.882,0.816,0.882,0.882,0.882
1JP0_1_A,0.935,0.935,0.204,0.935,0.935,0.935,0.935,0.866,0.935,0.935,0.935
1JTJ_1_A,0.645,0.714,0.289,0.764,0.764,0.764,0.764,0.707,0.764,0.714,0.714
1JTW_5_A,0.913,0.913,0.577,0.913,0.73,0.913,0.707,0.913,0.913,0.913,0.913
1JU1_1_A-B,0.809,0.877,0.139,0.832,0.809,0.832,0.832,0.809,0.832,0.856,0.877
1JU7_1_A,0.866,0.866,0.204,0.866,0.866,0.866,0.866,0.791,0.866,0.866,0.866
1JUR_1_A,0.784,0.784,0.277,0.784,0.784,0.784,0.784,0.734,0.784,0.832,0.784
1JWC_1_A,1.0,1.0,0.236,1.0,1.0,1.0,1.0,0.913,1.0,1.0,1.0
1JZC_1_A,0.756,0.845,0.378,0.845,0.845,0.845,0.845,0.756,0.845,0.845,0.845
1JZV_1_B-A,0.471,0.471,0.408,0.471,0.73,0.471,0.471,0.471,0.471,0.471,0.471
