,PPV,TPR,F1,INF-MCC
1IBM_1_Y-Z,0.333,1.0,0.5,0.577
1ICG_1_A-B,0.0,0.0,0.0,0.0
1ID9_1_A-B,0.0,0.0,0.0,0.0
1IDV_1_A,0.0,0.0,0.0,0.0
1IDW_1_A-B,0.0,0.0,0.0,0.0
1IE1_4_A,0.333,1.0,0.5,0.577
1IE2_16_A,0.2,1.0,0.333,0.447
1IHA_1_A-B,0.0,0.0,0.0,0.0
1IK1_1_A,0.0,0.0,0.0,0.0
1IK5_1_A-B,0.0,0.0,0.0,0.0
1IKD_24_A,0.0,0.0,0.0,0.0
1IL2_1_C,0.0,0.0,0.0,0.0
1IL2_1_D,0.0,0.0,0.0,0.0
1IVS_1_C,0.333,0.4,0.364,0.365
1IVS_1_D,0.444,0.571,0.5,0.504
1J1U_1_B,0.313,0.556,0.4,0.417
1J2B_1_C,0.333,0.667,0.444,0.471
1J2B_1_D,0.5,0.5,0.5,0.5
1J4Y_1_A,0.0,0.0,0.0,0.0
1J7T_1_A-B,0.25,0.25,0.25,0.25
1J9H_1_A-B,0.4,1.0,0.571,0.632
1J9H_1_C-D,0.5,1.0,0.667,0.707
1JBR_1_C-F,0.0,0.0,0.0,0.0
1JBR_1_D,0.167,0.333,0.222,0.236
1JBS_1_C,0.0,0.0,0.0,0.0
1JBS_1_D,0.0,0.0,0.0,0.0
1JBT_1_C,0.0,0.0,0.0,0.0
1JBT_1_D,0.0,0.0,0.0,0.0
1JGO_1_B,0.0,0.0,0.0,0.0
1JGO_1_C,0.0,0.0,0.0,0.0
1JGO_1_D,0.091,0.25,0.133,0.151
1JGP_1_B,0.0,0.0,0.0,0.0
1JGP_1_C,0.0,0.0,0.0,0.0
1JGP_1_D,0.091,0.25,0.133,0.151
1JGQ_1_B,0.0,0.0,0.0,0.0
1JGQ_1_C,0.0,0.0,0.0,0.0
1JGQ_1_D,0.091,0.25,0.133,0.151
1JID_1_B,0.0,0.0,0.0,0.0
1JJ2_1_9,0.25,0.421,0.314,0.324
1JO7_18_A,0.333,0.333,0.333,0.333
1JOX_1_A,0.0,0.0,0.0,0.0
1JP0_1_A,0.0,0.0,0.0,0.0
1JTJ_1_A,0.0,0.0,0.0,0.0
1JTW_5_A,0.0,0.0,0.0,0.0
1JU1_1_A-B,0.167,0.143,0.154,0.154
1JU7_1_A,0.0,0.0,0.0,0.0
1JUR_1_A,0.2,0.333,0.25,0.258
1JZC_1_A,0.0,0.0,0.0,0.0
1K1G_1_B,0.0,0.0,0.0,0.0
1K2G_1_A,0.167,0.5,0.25,0.289
1K4A_1_A,1.0,1.0,1.0,1.0
1K5I_2_A,0.0,0.0,0.0,0.0
1K6G_2_A,0.0,0.0,0.0,0.0
1K6H_1_A,0.0,0.0,0.0,0.0
1K73_1_B,0.25,0.421,0.314,0.324
1K8A_1_B,0.242,0.421,0.308,0.319
1K8S_1_A-B,0.0,0.0,0.0,0.0
1K8W_1_B,0.0,0.0,0.0,0.0
1K9M_1_B,0.258,0.421,0.32,0.33
1K9W_1_B,1.0,1.0,1.0,1.0
1K9W_1_D,0.5,0.333,0.4,0.408
1KAJ_1_A,0.0,0.0,0.0,0.0
1KC8_1_B,0.242,0.421,0.308,0.319
1KD1_1_B,0.258,0.421,0.32,0.33
1KD3_1_A-B,0.0,0.0,0.0,0.0
1KD4_1_A-B,0.0,0.0,0.0,0.0
1KD5_1_A-B,0.0,0.0,0.0,0.0
1KH6_1_A,0.667,0.667,0.667,0.667
1KIS_1_A,0.0,0.0,0.0,0.0
1KKA_1_A,0.333,1.0,0.5,0.577
1KKS_1_A,1.0,1.0,1.0,1.0
1KOC_1_B-A,0.0,0.0,0.0,0.0
1KOD_1_B-A,0.0,0.0,0.0,0.0
1KOG_1_I,0.143,0.25,0.182,0.189
1KOG_1_J,0.143,0.25,0.182,0.189
1KOG_1_K,0.0,0.0,0.0,0.0
1KOG_1_L,0.125,0.25,0.167,0.177
1KOG_1_M,0.125,0.167,0.143,0.144
1KOG_1_N,0.143,0.25,0.182,0.189
1KOG_1_O,0.167,0.25,0.2,0.204
1KOG_1_P,0.143,0.25,0.182,0.189
1KOS_1_A,0.0,0.0,0.0,0.0
1KP7_1_A,0.333,0.667,0.444,0.471
1KPD_1_A,0.0,0.0,0.0,0.0
1KPY_3_A,0.0,0.0,0.0,0.0
1KPZ_1_A,0.0,0.0,0.0,0.0
1KQS_1_9,0.242,0.421,0.308,0.319
1KUQ_1_B,0.5,0.625,0.556,0.559
1KXK_1_A,0.25,0.286,0.267,0.267
1L1C_1_C,0.333,0.25,0.286,0.289
1L1W_1_A,0.0,0.0,0.0,0.0
1L2X_1_A,0.0,0.0,0.0,0.0
1L3D_1_A,0.0,0.0,0.0,0.0
1L8V_1_A,0.091,0.273,0.136,0.157
1L8V_1_B,0.086,0.214,0.122,0.136
1L9A_1_B,0.071,0.222,0.108,0.126
1LC4_1_A-B,0.333,0.5,0.4,0.408
1LC6_7_A,0.0,0.0,0.0,0.0
1LDZ_3_A,0.125,0.143,0.133,0.134
1LMV_1_B-A,0.0,0.0,0.0,0.0
1LNG_1_B,0.412,0.636,0.5,0.512
1LNT_1_A-B,0.0,0.0,0.0,0.0
1LU3_1_A,1.0,1.0,1.0,1.0
1LVJ_2_A,0.0,0.0,0.0,0.0
1M1K_1_B,0.25,0.421,0.314,0.324
1M5K_1_B,0.0,0.0,0.0,0.0
1M5K_1_E,0.0,0.0,0.0,0.0
1M5L_1_A,0.125,0.25,0.167,0.177
1M5O_1_B,0.0,0.0,0.0,0.0
1M5O_1_E,0.0,0.0,0.0,0.0
1M5P_1_B,0.0,0.0,0.0,0.0
1M5P_1_E,0.0,0.0,0.0,0.0
1M5V_1_B,0.0,0.0,0.0,0.0
1M5V_1_E,0.0,0.0,0.0,0.0
1M82_1_A,0.333,0.4,0.364,0.365
1M90_1_B,0.242,0.421,0.308,0.319
1MFJ_1_A,0.0,0.0,0.0,0.0
1MFK_1_A,1.0,1.0,1.0,1.0
1MFQ_1_A,0.056,0.167,0.083,0.096
1MFY_1_A,0.2,0.333,0.25,0.258
1MHK_1_L-S,0.0,0.0,0.0,0.0
1MIS_1_A-B,0.4,0.5,0.444,0.447
1MJ1_1_C,0.0,0.0,0.0,0.0
1MJ1_1_D,0.0,0.0,0.0,0.0
1MJI_1_C,0.0,0.0,0.0,0.0
1MJI_1_D,0.0,0.0,0.0,0.0
1ML5_1_B,0.0,0.0,0.0,0.0
1MME_1_B-A,0.143,0.25,0.182,0.189
1MME_1_D-C,0.333,0.667,0.444,0.471
1MMS_1_C,0.063,0.333,0.105,0.144
1MMS_1_D,0.063,0.333,0.105,0.144
1MNB_1_B,0.0,0.0,0.0,0.0
1MNX_5_A,1.0,1.0,1.0,1.0
1MSY_1_A,0.571,0.8,0.667,0.676
1MT4_4_A,0.0,0.0,0.0,0.0
1MUV_1_A-B,0.0,0.0,0.0,0.0
1MWG_1_A-B,0.0,0.0,0.0,0.0
1MWL_1_A-B,0.5,1.0,0.667,0.707
1MY9_1_A,0.0,0.0,0.0,0.0
1MY9_1_B,0.0,0.0,0.0,0.0
1MZP_1_B,0.643,0.818,0.72,0.725
1N33_1_Y-Z,0.0,0.0,0.0,0.0
1N35_1_C-B,0.0,0.0,0.0,0.0
1N53_1_A-B,0.0,0.0,0.0,0.0
1N66_1_A,0.5,0.5,0.5,0.5
1N77_1_C,0.231,0.5,0.316,0.34
1N77_1_D,0.231,0.5,0.316,0.34
1N78_1_C,0.231,0.5,0.316,0.34
1N78_1_D,0.25,0.6,0.353,0.387
1N8R_1_B,0.25,0.421,0.314,0.324
1N8X_1_A,0.0,0.0,0.0,0.0
1NA2_1_A,0.167,0.5,0.25,0.289
1NBK_1_A,0.25,0.2,0.222,0.224
1NBR_10_A,0.0,0.0,0.0,0.0
1NBS_1_A,0.04,0.25,0.069,0.1
1NBS_1_B,0.025,0.077,0.038,0.044
1NC0_2_A,0.0,0.0,0.0,0.0
1NEM_1_A,0.0,0.0,0.0,0.0
1NJI_1_B,0.258,0.421,0.32,0.33
1NJM_1_5,1.0,1.0,1.0,1.0
1NJP_1_5,0.333,0.25,0.286,0.289
1NKW_1_9,0.227,0.25,0.238,0.238
1NLC_1_B-A,0.2,0.25,0.222,0.224
1NTA_1_A-B,0.0,0.0,0.0,0.0
1NTB_1_A-B,0.0,0.0,0.0,0.0
1NUJ_1_A-B,0.0,0.0,0.0,0.0
1NUJ_1_C-D,0.0,0.0,0.0,0.0
1NUJ_1_E-F,0.0,0.0,0.0,0.0
1NUJ_1_G-H,0.0,0.0,0.0,0.0
1NUV_1_A-B,0.0,0.0,0.0,0.0
1NUV_1_C-D,0.0,0.0,0.0,0.0
1NUV_1_E-F,0.0,0.0,0.0,0.0
1NUV_1_G-H,0.0,0.0,0.0,0.0
1NWX_1_9,0.227,0.25,0.238,0.238
1NWY_1_9,0.227,0.25,0.238,0.238
1NYB_1_B,0.0,0.0,0.0,0.0
1NYI_1_B-A,0.143,0.167,0.154,0.154
1NZ1_1_A,0.5,1.0,0.667,0.707
1O0B_1_B,0.385,0.833,0.526,0.566
1O0C_1_B,0.385,0.833,0.526,0.566
1O15_1_A,0.286,0.5,0.364,0.378
1O3Z_1_B-A,0.167,0.167,0.167,0.167
1O9M_1_A-B,0.0,0.0,0.0,0.0
1OB2_1_B,0.0,0.0,0.0,0.0
1OLN_1_C,0.063,0.333,0.105,0.144
1OOA_1_C,0.25,0.333,0.286,0.289
1OOA_1_D,0.0,0.0,0.0,0.0
1OSW_3_A,0.0,0.0,0.0,0.0
1OW9_1_A,0.25,1.0,0.4,0.5
1P5M_10_A,0.182,0.182,0.182,0.182
1P5N_8_A,0.154,0.222,0.182,0.185
1P5O_2_A,0.043,0.083,0.057,0.06
1P5P_1_A,0.0,0.0,0.0,0.0
1P6V_1_B,0.714,0.625,0.667,0.668
1P6V_1_D,0.333,0.5,0.4,0.408
1PBR_1_A,0.4,0.4,0.4,0.4
1PJY_1_A,0.0,0.0,0.0,0.0
1Q29_1_B-A,0.286,0.333,0.308,0.309
1Q75_1_A,0.0,0.0,0.0,0.0
1Q7Y_1_B,0.258,0.421,0.32,0.33
1Q81_1_B,0.25,0.381,0.302,0.309
1Q82_1_B,0.25,0.421,0.314,0.324
1Q86_1_B,0.242,0.421,0.308,0.319
1Q8N_1_A,0.111,0.2,0.143,0.149
1Q93_1_A,0.0,0.0,0.0,0.0
1Q93_1_B,0.0,0.0,0.0,0.0
1Q93_1_C,0.0,0.0,0.0,0.0
1Q96_1_A,0.0,0.0,0.0,0.0
1Q96_1_B,0.0,0.0,0.0,0.0
1Q96_1_C,0.0,0.0,0.0,0.0
1Q9A_1_A,0.167,0.5,0.25,0.289
1QA6_1_C,0.077,0.167,0.105,0.113
1QA6_1_D,0.077,0.167,0.105,0.113
1QBP_1_A-B,0.0,0.0,0.0,0.0
1QBP_1_C-D,0.0,0.0,0.0,0.0
1QBP_1_E-F,0.0,0.0,0.0,0.0
1QC8_1_A,0.333,0.25,0.286,0.289
1QD3_1_A,0.0,0.0,0.0,0.0
1QET_1_A-B,0.0,0.0,0.0,0.0
1QF6_1_B,0.111,0.167,0.133,0.136
1QFQ_1_A,0.0,0.0,0.0,0.0
1QRS_1_B,0.385,0.833,0.526,0.566
1QRT_1_B,0.385,0.833,0.526,0.566
1QRU_1_B,0.417,0.833,0.556,0.589
1QTQ_1_B,0.385,0.833,0.526,0.566
1QU2_1_T,0.455,0.714,0.556,0.57
1QU3_1_T,0.455,0.714,0.556,0.57
1QVF_1_3,0.0,0.0,0.0,0.0
1QVF_1_9,0.25,0.421,0.314,0.324
1QVG_1_9,0.276,0.421,0.333,0.341
1QWA_1_A,0.0,0.0,0.0,0.0
1QWB_4_A,0.167,0.5,0.25,0.289
1QZW_1_B,0.333,0.364,0.348,0.348
1QZW_1_D,0.333,0.364,0.348,0.348
1QZW_1_F,0.333,0.364,0.348,0.348
1QZW_1_H,0.333,0.364,0.348,0.348
1R2P_9_A,0.2,0.167,0.182,0.183
1R3E_1_C,0.0,0.0,0.0,0.0
1R4H_1_A,0.0,0.0,0.0,0.0
1R7W_12_A,0.0,0.0,0.0,0.0
1R7Z_5_A,0.0,0.0,0.0,0.0
1R9S_1_R,0.0,0.0,0.0,0.0
1RAW_1_A,0.143,0.5,0.222,0.267
1RFR_3_A,0.4,0.5,0.444,0.447
1RHT_1_A,0.0,0.0,0.0,0.0
1RLG_1_C,0.333,1.0,0.5,0.577
1RLG_1_D,0.333,1.0,0.5,0.577
1RMN_1_A,0.333,0.5,0.4,0.408
1RNA_1_A-B,0.0,0.0,0.0,0.0
1RNG_1_A,0.0,0.0,0.0,0.0
1RNK_1_A,0.0,0.0,0.0,0.0
1ROQ_1_A,1.0,1.0,1.0,1.0
1RPU_1_C-D,0.0,0.0,0.0,0.0
1RY1_1_A,0.056,0.167,0.083,0.096
1RY1_1_E,0.0,0.0,0.0,0.0
1RY1_1_N-M,0.0,0.0,0.0,0.0
1RY1_1_O-P,0.667,1.0,0.8,0.816
1RY1_1_Q-R,0.667,0.667,0.667,0.667
1S03_1_A,0.0,0.0,0.0,0.0
1S03_1_B,0.0,0.0,0.0,0.0
1S2F_1_A,0.0,0.0,0.0,0.0
1S34_1_A,0.0,0.0,0.0,0.0
1S72_1_9,0.25,0.421,0.314,0.324
1S9S_4_A,0.0,0.0,0.0,0.0
1SA9_1_A-B,0.5,1.0,0.667,0.707
1SA9_1_C-D,0.5,1.0,0.667,0.707
1SAQ_1_A-B,0.0,0.0,0.0,0.0
1SAQ_1_C-D,0.0,0.0,0.0,0.0
1SCL_4_A,0.333,0.5,0.4,0.408
1SDR_1_A-B,0.0,0.0,0.0,0.0
1SDR_1_C-D,0.0,0.0,0.0,0.0
1SDS_1_D,0.0,0.0,0.0,0.0
1SDS_1_E,0.0,0.0,0.0,0.0
1SDS_1_F,0.0,0.0,0.0,0.0
1SER_1_T,0.0,0.0,0.0,0.0
1SJ3_1_R,0.0,0.0,0.0,0.0
1SJ4_1_R,0.0,0.0,0.0,0.0
1SJF_1_B,0.0,0.0,0.0,0.0
1SLO_1_A,0.0,0.0,0.0,0.0
1SM1_1_9,0.176,0.231,0.2,0.202
1SY4_5_A,0.0,0.0,0.0,0.0
1SYZ_2_A,0.0,0.0,0.0,0.0
1SZ1_1_E,0.0,0.0,0.0,0.0
1SZ1_1_F,0.0,0.0,0.0,0.0
1SZY_1_A,0.0,0.0,0.0,0.0
1T0D_1_A-B,0.0,0.0,0.0,0.0
1T0D_1_C-D,0.0,0.0,0.0,0.0
1T0E_1_A-C,0.0,0.0,0.0,0.0
1T0K_1_D-C,0.25,0.5,0.333,0.354
1T28_1_A,0.0,0.0,0.0,0.0
1T4L_1_A,0.0,0.0,0.0,0.0
1TBK_1_A,0.0,0.0,0.0,0.0
1TFN_1_A,0.333,0.333,0.333,0.333
1TFW_1_G-J,0.5,1.0,0.667,0.707
1TFW_1_I-F,0.5,0.5,0.5,0.5
1TFY_1_G-J,0.0,0.0,0.0,0.0
1TFY_1_H-E,0.25,0.333,0.286,0.289
1TFY_1_I-F,0.0,0.0,0.0,0.0
1TJZ_15_A,0.667,1.0,0.8,0.816
1TLR_1_A,0.5,1.0,0.667,0.707
1TN1_1_A,0.0,0.0,0.0,0.0
1TN2_1_A,0.0,0.0,0.0,0.0
1TOB_1_A,0.0,0.0,0.0,0.0
1TRA_1_A,0.0,0.0,0.0,0.0
1TTT_1_D,0.0,0.0,0.0,0.0
1TTT_1_E,0.0,0.0,0.0,0.0
1TTT_1_F,0.0,0.0,0.0,0.0
1TUT_1_A-B,0.5,1.0,0.667,0.707
1TXS_4_A,0.2,0.5,0.286,0.316
1U0B_1_A,0.188,0.6,0.286,0.335
1U1Y_1_R,0.5,0.5,0.5,0.5
1U1Y_1_S,0.5,0.5,0.5,0.5
1U2A_1_A,0.0,0.0,0.0,0.0
1U3K_7_A,0.25,0.333,0.286,0.289
1U63_1_B,0.286,0.2,0.235,0.239
1U63_1_D,0.5,0.667,0.571,0.577
1U6B_1_B,0.0,0.0,0.0,0.0
1U6P_16_B,0.0,0.0,0.0,0.0
1U9S_1_A,0.028,0.125,0.045,0.059
1ULL_3_A,0.429,0.429,0.429,0.429
1UN6_1_E,0.7,0.7,0.7,0.7
1UN6_1_F,0.7,0.778,0.737,0.738
1UON_1_C-B,0.0,0.0,0.0,0.0
1URN_1_P,0.0,0.0,0.0,0.0
1URN_1_Q,0.0,0.0,0.0,0.0
1URN_1_R,0.0,0.0,0.0,0.0
1UUD_1_B,0.0,0.0,0.0,0.0
1UUI_1_B,0.0,0.0,0.0,0.0
1UUU_7_A,0.0,0.0,0.0,0.0
1VBX_1_B,0.0,0.0,0.0,0.0
1VBY_1_B,0.0,0.0,0.0,0.0
1VBZ_1_B,0.0,0.0,0.0,0.0
1VC0_1_B,0.0,0.0,0.0,0.0
1VC5_1_B,0.0,0.0,0.0,0.0
1VC6_1_B,0.0,0.0,0.0,0.0
1VFG_1_C,0.25,0.25,0.25,0.25
1VFG_1_D,0.0,0.0,0.0,0.0
1VOP_1_A,0.0,0.0,0.0,0.0
1VQ4_1_9,0.258,0.421,0.32,0.33
1VQ5_1_9,0.258,0.421,0.32,0.33
1VQ6_1_9,0.229,0.4,0.291,0.302
1VQ7_1_9,0.242,0.421,0.308,0.319
1VQ8_1_9,0.242,0.421,0.308,0.319
1VQ9_1_9,0.242,0.381,0.296,0.304
1VQK_1_9,0.25,0.421,0.314,0.324
1VQN_1_9,0.25,0.421,0.314,0.324
1VQO_1_9,0.242,0.421,0.308,0.319
1VQP_1_9,0.242,0.421,0.308,0.319
1VTQ_1_A,0.0,0.0,0.0,0.0
1VVJ_1_QV,0.462,0.6,0.522,0.526
1VVJ_1_RB,0.286,0.345,0.313,0.314
1VVJ_1_XV,0.462,0.6,0.522,0.526
1VVJ_1_YB,0.323,0.4,0.357,0.359
1VY4_1_AW,0.182,0.182,0.182,0.182
1VY4_1_AX,0.333,0.4,0.364,0.365
1VY4_1_AY,0.167,0.143,0.154,0.154
1VY4_1_BB,0.321,0.429,0.367,0.371
