,contextFold,contrafold,e2efold,ipknot,mxfold,mxfold2,rna-state-inf,rna-structure,rnafold,spot-rna,ufold
1ATW_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1AUD_8_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.118
1B23_1_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1B36_8_A,0.0,0.0,0.0,0.0,0.224,0.0,0.0,0.0,0.0,0.224,0.141
1B7F_1_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1BAU_1_A-B,0.169,0.154,0.0,0.154,0.169,0.154,0.154,0.154,0.154,0.267,0.154
1BGZ_1_A,0.316,0.2,0.447,0.2,0.0,0.224,0.224,0.2,0.2,0.2,0.2
1BIV_5_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1BVJ_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1BYJ_31_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.816,0.577
1BZ2_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,0.707
1BZ3_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1BZT_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,0.0
1BZU_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1C04_1_E,0.113,0.113,0.0,0.113,0.113,0.0,0.0,0.124,0.113,0.113,0.124
1C04_1_F,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.53,0.354
1C0O_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,0.0,0.289,0.289
1C2X_1_C,0.404,0.073,0.404,0.217,0.086,0.243,0.067,0.07,0.067,0.564,0.46
1C4L_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1CQ5_1_A,0.204,0.204,0.0,0.204,0.0,0.204,0.204,0.204,0.204,0.589,0.204
1CQL_10_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.0
1CSL_1_B-A,0.0,0.577,0.0,0.577,0.408,0.577,0.577,0.0,0.577,1.0,0.333
1D0T_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0
1D0U_14_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.0
1D4R_1_B-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1D6K_4_B,0.333,0.333,0.0,0.0,0.192,0.333,0.333,0.333,0.333,0.778,0.408
1DDY_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0
1DDY_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.0
1DDY_1_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0
1DDY_1_G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.0
1DFU_1_M-N,0.0,0.535,0.218,0.0,0.378,0.535,0.0,0.535,0.0,0.535,0.338
1DK1_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.158
1DRZ_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1DUL_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.816,0.0
1DUQ_1_B-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1DUQ_1_D-C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1DUQ_1_F-E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1DUQ_1_H-G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1DZ5_1_C-D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1E4P_8_A,0.204,0.204,0.289,0.204,0.204,0.204,0.204,0.0,0.204,0.204,0.204
1E7K_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1E7K_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1E8O_1_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1E95_14_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1EBQ_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577,0.408
1EBR_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.408
1EBS_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577,0.408
1EC6_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1EC6_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1EFW_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.0
1EFW_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.102,0.0
1EHT_3_A,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.105
1EHZ_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1EI2_9_A,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1EIY_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.516,0.0
1EKZ_4_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
1ELH_1_B-A,0.0,0.0,0.0,0.0,0.154,0.0,0.154,0.0,0.0,0.286,0.0
1ESH_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ESY_2_A,0.0,0.224,0.0,0.224,0.224,0.224,0.224,0.224,0.224,0.224,0.224
1ET4_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.0
1ET4_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.0
1ET4_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.359,0.0
1ET4_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.0
1ET4_1_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.0
1ETF_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1ETG_14_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.0
1EUQ_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.323,0.0
1EUY_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.478,0.0
1EVV_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1EXD_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.0
1EXY_1_A,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.224,0.12
1F1T_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1F5G_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1F5H_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1F5U_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1F5U_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1F6U_2_B,0.0,0.354,0.5,0.354,0.5,0.354,0.354,0.354,0.354,0.0,0.0
1F6X_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.333
1F6Z_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.25
1F78_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1F79_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204,0.224
1F7F_3_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.289
1F7G_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.333
1F7H_5_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.289
1F7I_2_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144,0.154
1F7U_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1F7V_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1F7Y_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.158
1F84_10_A,0.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109,0.109
1F85_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1F9L_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1FCW_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1FCW_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1FCW_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1FCW_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1FCW_1_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1FEQ_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
1FEU_1_C-B,0.535,0.535,0.0,0.0,0.378,0.0,0.0,0.535,0.535,0.926,0.535
1FEU_1_F-E,0.535,0.535,0.0,0.0,0.378,0.0,0.0,0.535,0.535,0.926,0.535
1FFK_1_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299,0.0
1FFY_1_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.57,0.0
1FFZ_1_A,0.053,0.084,0.0,0.029,0.081,0.048,0.034,0.044,0.059,0.079,0.046
1FG0_1_A,0.08,0.112,0.0,0.034,0.114,0.07,0.052,0.051,0.096,0.113,0.052
1FHK_4_A,0.707,0.707,0.0,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.707
1FIR_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1FJE_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316,0.447
1FL8_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1FMN_1_A,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.306,0.218
1FOQ_1_A,0.167,0.167,0.0,0.118,0.149,0.167,0.167,0.126,0.167,0.0,0.0
1FOQ_1_B,0.167,0.167,0.0,0.118,0.149,0.167,0.167,0.167,0.167,0.0,0.0
1FOQ_1_C,0.167,0.167,0.0,0.118,0.149,0.167,0.167,0.126,0.167,0.0,0.0
1FOQ_1_D,0.167,0.167,0.0,0.118,0.149,0.167,0.167,0.167,0.167,0.0,0.0
1FOQ_1_E,0.167,0.167,0.0,0.118,0.149,0.167,0.167,0.167,0.167,0.0,0.0
1FQZ_1_A,0.408,0.0,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.408,0.408
1FUF_1_A-B,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1FYO_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.316,0.177
1FYP_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.118
1G1X_1_D-E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167
1G1X_1_J-I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.335,0.0
1G2E_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1G59_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,0.0
1G59_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.267,0.0
1G70_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.183
1GAX_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.0
1GAX_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,0.0
1GID_1_A,0.037,0.033,0.0,0.0,0.036,0.036,0.036,0.0,0.0,0.087,0.033
1GID_1_B,0.037,0.033,0.0,0.0,0.037,0.036,0.036,0.0,0.0,0.092,0.033
1GRZ_1_A,0.091,0.11,0.0,0.091,0.049,0.091,0.089,0.086,0.061,0.153,0.071
1GRZ_1_B,0.142,0.125,0.038,0.077,0.058,0.107,0.105,0.098,0.072,0.107,0.131
1GTR_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.546,0.0
1GTS_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.566,0.0
1H3E_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.0
1H4Q_1_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0
1H4S_1_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0
1HC8_1_C,0.105,0.105,0.0,0.124,0.105,0.0,0.0,0.113,0.105,0.113,0.098
1HC8_1_D,0.101,0.101,0.0,0.12,0.101,0.0,0.0,0.109,0.101,0.109,0.094
1HJI_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1HLX_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167
1HMH_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.447
1HMH_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.447
1HMH_1_E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1HQ1_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.816,0.0
1HR2_1_A,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0
1HR2_1_B,0.037,0.033,0.0,0.0,0.0,0.036,0.036,0.0,0.0,0.083,0.033
1HS1_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,0.0
1HS2_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1HS3_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.707,0.0
1HS4_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1HS8_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1HVU_1_C,0.0,0.0,0.0,0.0,0.0,0.354,0.354,0.354,0.354,0.354,0.354
1HVU_1_F,0.0,0.0,0.0,0.0,0.0,0.354,0.354,0.354,0.354,0.354,0.354
1HVU_1_I,0.0,0.0,0.0,0.0,0.0,0.354,0.354,0.354,0.354,0.354,0.354
1HVU_1_L,0.0,0.0,0.0,0.0,0.0,0.354,0.354,0.354,0.354,0.354,0.354
1HWQ_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1I3X_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1I3Y_8_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1I46_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1I6U_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.224
1I6U_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.224,0.224
1I9F_5_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.0
1I9V_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.298,0.0
1I9X_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1IBL_1_Y-Z,0.0,0.333,0.0,0.408,0.0,0.408,0.408,0.333,0.333,0.333,0.667
1IBM_1_Y-Z,0.0,0.0,0.0,0.577,0.0,0.0,0.0,0.0,0.0,0.577,0.408
1ICG_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ID9_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1IDV_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1IDW_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1IE1_4_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577,0.408
1IE2_16_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.447
1IHA_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1IK1_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1IK5_1_A-B,0.0,0.0,0.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1IKD_24_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1IL2_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1IL2_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1IVS_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.0
1IVS_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,0.0
1J1U_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.417,0.0
1J2B_1_C,0.408,0.236,0.289,0.204,0.183,0.289,0.204,0.0,0.154,0.471,0.289
1J2B_1_D,0.289,0.289,0.0,0.289,0.224,0.289,0.0,0.0,0.0,0.5,0.289
1J4Y_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333
1J7T_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
1J9H_1_A-B,0.632,0.516,0.0,0.632,0.632,0.632,0.632,0.632,0.632,0.632,0.447
1J9H_1_C-D,0.707,0.577,0.0,0.707,0.707,0.707,0.707,0.707,0.707,0.707,0.5
1JBR_1_C-F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JBR_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.236,0.204
1JBS_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JBS_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JBT_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JBT_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JGO_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JGO_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JGO_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0
1JGP_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JGP_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JGP_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0
1JGQ_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JGQ_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JGQ_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0
1JID_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JJ2_1_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0
1JO7_18_A,0.333,0.333,0.0,0.408,0.333,0.408,0.408,0.333,0.333,0.333,0.333
1JOX_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JP0_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JTJ_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JTW_5_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JU1_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0
1JU7_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1JUR_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,0.0
1JZC_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1K1G_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1K2G_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289,0.577
1K4A_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1K5I_2_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1K6G_2_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1K6H_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1K73_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0
1K8A_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319,0.0
1K8S_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1K8W_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1K9M_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0
1K9W_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1K9W_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.408,0.0
1KAJ_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1KC8_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319,0.0
1KD1_1_B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0
1KD3_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1KD4_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1KD5_1_A-B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1KH6_1_A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0
