,contextFold,contrafold,e2efold,ipknot,mxfold,mxfold2,rna-state-inf,rna-structure,rnafold,spot-rna,ufold
1ASY_1_S,0.705,0.615,0.085,0.359,0.488,0.738,0.369,0.316,0.564,0.975,0.564
1ASZ_1_R,0.705,0.615,0.085,0.359,0.488,0.738,0.369,0.239,0.564,0.975,0.564
1ASZ_1_S,0.705,0.615,0.085,0.359,0.488,0.738,0.369,0.316,0.564,0.975,0.564
1ATO_1_A,1.0,1.0,0.471,1.0,1.0,1.0,1.0,0.913,1.0,1.0,1.0
1ATV_1_A,1.0,1.0,0.236,1.0,1.0,1.0,1.0,0.913,1.0,1.0,1.0
1ATW_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1AUD_8_B,1.0,1.0,0.192,1.0,1.0,1.0,0.471,0.471,0.471,1.0,1.0
1B23_1_R,0.31,0.6,0.085,0.564,0.559,0.6,0.616,0.335,0.616,0.949,0.615
1B36_8_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.943,1.0,1.0,1.0
1BAU_1_A-B,0.336,0.294,0.0,0.313,0.313,0.313,0.313,0.324,0.313,0.303,0.294
1BGZ_1_A,0.632,0.5,0.0,0.5,1.0,0.75,0.75,0.375,0.471,0.75,0.75
1BIV_5_A,0.905,1.0,0.402,0.953,0.905,1.0,1.0,0.905,1.0,1.0,1.0
1BJ2_1_A-B,0.418,0.391,0.0,0.418,0.404,0.418,0.391,0.391,0.391,0.671,0.474
1BN0_2_A,1.0,1.0,0.53,1.0,1.0,1.0,1.0,0.935,1.0,1.0,1.0
1BVJ_1_A,0.722,1.0,0.408,1.0,0.935,1.0,1.0,1.0,1.0,0.935,1.0
1BYJ_31_A,1.0,1.0,0.192,0.943,0.943,1.0,1.0,0.943,1.0,1.0,1.0
1BZ2_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1BZ3_1_A,0.913,0.913,0.0,0.913,0.913,0.913,0.913,0.816,0.913,0.913,1.0
1BZT_1_A,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.866,1.0,1.0,1.0
1BZU_1_A,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.866,1.0,1.0,1.0
1C04_1_E,0.966,0.966,0.346,0.966,0.69,0.552,0.552,0.966,0.966,0.856,0.82
1C04_1_F,0.926,1.0,0.154,0.926,1.0,1.0,1.0,0.845,0.857,1.0,1.0
1C0O_1_A,1.0,1.0,0.0,1.0,1.0,1.0,0.775,0.0,1.0,1.0,1.0
1C2X_1_C,0.983,0.287,1.0,0.706,0.316,0.948,0.287,0.271,0.287,1.0,1.0
1C4L_1_A-B,0.612,1.0,0.204,0.866,0.866,0.866,0.791,0.791,0.866,0.935,0.707
1CQ5_1_A,1.0,1.0,0.135,1.0,1.0,1.0,1.0,0.953,1.0,1.0,1.0
1CQL_10_A,1.0,1.0,0.129,1.0,0.957,1.0,1.0,0.957,1.0,1.0,1.0
1CSL_1_B-A,0.943,0.577,0.298,0.577,0.882,0.943,0.943,0.943,0.943,1.0,0.825
1D0T_1_A,0.913,0.913,0.0,0.913,0.816,0.913,0.913,0.816,0.913,1.0,1.0
1D0U_14_A,0.866,1.0,0.204,1.0,0.935,1.0,1.0,0.935,1.0,1.0,1.0
1D4R_1_B-A,0.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504
1D6K_4_B,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1DDY_1_A,0.0,0.144,0.0,0.5,0.144,0.53,0.144,0.144,0.144,0.825,0.474
1DDY_1_C,0.0,0.144,0.0,0.5,0.144,0.53,0.144,0.144,0.144,0.825,0.474
1DDY_1_E,0.0,0.144,0.0,0.5,0.144,0.53,0.144,0.144,0.144,0.825,0.474
1DDY_1_G,0.0,0.144,0.0,0.5,0.144,0.53,0.144,0.144,0.144,0.825,0.474
1DFU_1_M-N,0.778,1.0,0.0,1.0,1.0,1.0,0.316,0.943,0.0,1.0,0.889
1DI2_1_C-D,0.894,1.0,0.0,0.894,0.894,0.894,0.894,0.837,0.894,0.949,0.837
1DK1_1_B,0.86,0.631,0.199,0.579,0.829,0.947,0.703,0.668,0.703,0.947,0.612
1DQF_1_B-A,0.882,1.0,0.0,0.882,0.882,0.882,0.882,0.816,0.882,0.943,0.0
1DQH_1_B-A,0.882,1.0,0.0,0.882,0.882,0.882,0.882,0.816,0.882,0.943,0.0
1DRZ_1_B,0.741,0.414,0.0,0.503,0.362,0.798,0.0,0.0,0.0,0.693,0.27
1DUL_1_B,1.0,1.0,0.129,0.931,0.931,1.0,1.0,1.0,1.0,1.0,1.0
1DUQ_1_B-A,0.775,1.0,0.387,0.478,0.359,0.478,0.0,0.0,0.0,0.478,0.566
1DUQ_1_D-C,0.775,1.0,0.387,0.478,0.359,0.478,0.0,0.0,0.0,0.478,0.566
1DUQ_1_F-E,0.775,1.0,0.387,0.478,0.359,0.478,0.0,0.0,0.0,0.478,0.566
1DUQ_1_H-G,0.775,1.0,0.387,0.478,0.359,0.478,0.0,0.0,0.0,0.478,0.566
1DZ5_1_C-D,0.0,0.0,0.134,0.286,0.0,0.643,0.0,0.519,0.0,0.845,0.741
1E4P_8_A,1.0,1.0,0.289,1.0,0.913,1.0,1.0,0.913,1.0,1.0,1.0
1E7K_1_C,0.775,0.0,0.0,0.0,0.775,0.775,0.0,0.0,0.0,0.775,0.0
1E7K_1_D,0.775,0.0,0.0,0.0,0.775,0.775,0.0,0.0,0.0,0.775,0.0
1E8O_1_E,0.913,0.913,0.105,0.857,0.654,0.913,0.85,0.252,0.913,0.748,0.913
1E95_14_A,0.707,0.707,0.0,0.707,0.707,0.707,0.707,0.51,0.707,1.0,1.0
1EBQ_1_A,1.0,1.0,0.258,1.0,1.0,1.0,1.0,0.949,1.0,1.0,1.0
1EBR_1_A,1.0,1.0,0.478,1.0,0.949,1.0,1.0,0.949,1.0,1.0,1.0
1EBS_1_A,1.0,1.0,0.258,1.0,1.0,1.0,1.0,0.949,1.0,1.0,1.0
1EC6_1_C,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.866,1.0,1.0,1.0
1EC6_1_D,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.866,1.0,1.0,1.0
1EFW_1_C,0.818,0.501,0.329,0.669,0.408,0.927,0.394,0.394,0.501,0.976,0.976
1EFW_1_D,0.818,0.501,0.329,0.669,0.408,0.927,0.394,0.976,0.501,0.976,0.976
1EHT_3_A,1.0,1.0,0.385,1.0,0.882,1.0,1.0,0.943,1.0,1.0,1.0
1EHZ_1_A,0.458,0.63,0.083,0.548,0.497,0.972,0.476,0.236,0.476,0.756,0.548
1EI2_9_A,0.935,1.0,0.316,1.0,0.935,1.0,0.866,0.866,1.0,1.0,1.0
1EIY_1_C,0.977,0.93,0.977,0.93,0.783,0.953,0.977,0.953,0.93,1.0,0.977
1EKA_1_A-B,0.791,1.0,0.354,0.866,0.866,0.866,0.707,0.791,0.866,0.935,0.935
1EKD_1_A-B,0.791,1.0,0.408,0.866,0.354,0.866,0.866,0.0,0.866,0.791,0.935
1EKZ_4_B,1.0,1.0,0.185,1.0,1.0,1.0,1.0,0.961,1.0,1.0,1.0
1ELH_1_B-A,0.894,1.0,0.0,1.0,0.843,1.0,0.843,1.0,1.0,0.843,1.0
1ESH_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1ESY_2_A,0.816,1.0,0.0,1.0,0.816,1.0,1.0,1.0,1.0,1.0,1.0
1ET4_1_A,0.0,0.144,0.0,0.5,0.144,0.53,0.144,0.144,0.144,0.825,0.474
1ET4_1_B,0.0,0.144,0.0,0.5,0.144,0.53,0.144,0.144,0.144,0.825,0.474
1ET4_1_C,0.0,0.144,0.0,0.5,0.144,0.53,0.144,0.144,0.144,0.825,0.474
1ET4_1_D,0.0,0.144,0.0,0.5,0.144,0.53,0.144,0.144,0.144,0.825,0.474
1ET4_1_E,0.0,0.144,0.0,0.5,0.144,0.53,0.144,0.144,0.144,0.825,0.474
1ETF_1_A,1.0,1.0,0.354,1.0,0.957,1.0,1.0,1.0,1.0,1.0,1.0
1ETG_14_A,1.0,1.0,0.354,1.0,0.957,1.0,1.0,1.0,1.0,1.0,1.0
1EUQ_1_B,0.975,0.8,0.478,0.894,0.975,0.975,0.503,0.513,0.75,0.975,0.923
1EUY_1_B,0.975,0.923,0.496,0.866,0.791,0.975,0.503,0.513,0.75,0.975,0.975
1EVV_1_A,0.458,0.63,0.083,0.548,0.497,0.972,0.476,0.236,0.476,0.756,0.548
1EXD_1_B,0.975,0.781,0.538,0.821,0.975,0.975,0.488,0.488,0.715,0.975,0.923
1EXY_1_A,0.917,1.0,0.0,1.0,0.783,1.0,1.0,0.957,1.0,0.917,0.917
1F1T_1_A,0.775,0.783,0.283,0.548,0.671,0.949,0.645,0.424,0.424,0.837,0.738
1F27_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1F5G_1_A-B,0.791,0.0,0.204,0.0,0.289,0.866,0.866,0.0,0.791,0.866,0.354
1F5H_1_A-B,0.791,0.0,0.204,0.0,0.289,0.866,0.866,0.0,0.791,0.866,0.354
1F5U_1_A,1.0,1.0,0.218,1.0,1.0,1.0,1.0,0.926,1.0,1.0,1.0
1F5U_1_B,1.0,1.0,0.218,1.0,1.0,1.0,1.0,0.926,1.0,1.0,1.0
1F6U_2_B,0.775,1.0,0.0,0.8,0.775,1.0,1.0,1.0,1.0,1.0,0.632
1F6X_1_A,1.0,1.0,0.151,1.0,1.0,1.0,1.0,0.953,1.0,1.0,1.0
1F6Z_1_A,0.909,1.0,0.135,1.0,1.0,0.909,1.0,0.953,1.0,1.0,0.909
1F78_1_A,1.0,1.0,0.151,1.0,1.0,1.0,1.0,0.953,1.0,1.0,1.0
1F79_1_A,0.909,1.0,0.135,1.0,1.0,0.909,1.0,0.953,1.0,1.0,0.909
1F7F_3_A,1.0,1.0,0.151,1.0,1.0,1.0,1.0,0.953,1.0,1.0,1.0
1F7G_1_A,0.909,1.0,0.135,1.0,1.0,0.909,1.0,0.953,1.0,1.0,0.909
1F7H_5_A,1.0,1.0,0.151,1.0,1.0,1.0,1.0,0.953,1.0,1.0,1.0
1F7I_2_A,0.909,1.0,0.135,1.0,1.0,0.909,1.0,0.953,1.0,1.0,0.909
1F7U_1_B,0.364,0.353,0.0,0.376,0.376,0.353,0.353,0.364,0.353,0.907,0.364
1F7V_1_B,0.364,0.353,0.073,0.364,0.376,0.334,0.353,0.364,0.353,0.877,0.376
1F7Y_1_B,0.86,0.631,0.199,0.579,0.829,0.947,0.703,0.668,0.703,0.947,0.612
1F84_10_A,1.0,1.0,0.378,1.0,0.845,1.0,1.0,0.926,1.0,1.0,1.0
1F85_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1F9L_1_A,1.0,1.0,0.567,1.0,1.0,1.0,1.0,0.926,1.0,1.0,1.0
1FCW_1_A,0.458,0.63,0.083,0.548,0.497,0.972,0.476,0.236,0.476,0.756,0.548
1FCW_1_B,0.458,0.63,0.083,0.548,0.497,0.972,0.476,0.236,0.476,0.756,0.548
1FCW_1_C,0.458,0.63,0.083,0.548,0.497,0.972,0.476,0.236,0.476,0.756,0.548
1FCW_1_D,0.458,0.63,0.083,0.548,0.497,0.972,0.476,0.236,0.476,0.756,0.548
1FCW_1_E,0.458,0.63,0.083,0.548,0.497,0.972,0.476,0.236,0.476,0.756,0.548
1FEQ_1_A,1.0,1.0,0.447,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1FEU_1_C-B,0.894,1.0,0.0,0.671,0.949,0.0,0.0,0.949,0.949,1.0,1.0
1FEU_1_F-E,0.894,1.0,0.0,0.671,0.949,0.0,0.0,0.949,0.949,1.0,1.0
1FFK_1_9,0.985,0.925,0.985,0.925,0.849,0.893,0.893,0.925,0.925,0.985,0.985
1FFY_1_T,0.953,0.977,0.977,0.884,0.977,0.977,0.311,0.465,0.311,0.977,0.977
1FFZ_1_A,0.822,0.709,0.044,0.596,0.792,0.554,0.591,0.539,0.627,0.615,0.544
1FG0_1_A,0.821,0.707,0.045,0.598,0.79,0.551,0.588,0.542,0.624,0.611,0.545
1FHK_4_A,1.0,1.0,0.408,1.0,1.0,1.0,1.0,0.816,1.0,1.0,1.0
1FIR_1_A,0.0,0.529,0.0,0.364,0.0,0.286,0.529,0.269,0.529,0.501,0.324
1FJE_1_A,1.0,1.0,0.354,1.0,1.0,1.0,1.0,0.866,1.0,1.0,1.0
1FL8_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.866,1.0,1.0,1.0
1FMN_1_A,1.0,0.783,0.0,0.9,1.0,1.0,1.0,0.949,1.0,1.0,1.0
1FOQ_1_A,0.951,1.0,0.086,1.0,0.913,1.0,0.988,0.939,1.0,0.926,0.801
1FOQ_1_B,0.951,1.0,0.086,1.0,0.913,1.0,0.988,1.0,1.0,0.926,0.801
1FOQ_1_C,0.951,1.0,0.086,1.0,0.913,1.0,0.988,0.939,1.0,0.926,0.801
1FOQ_1_D,0.951,1.0,0.086,1.0,0.913,1.0,0.988,1.0,1.0,0.926,0.801
1FOQ_1_E,0.951,1.0,0.086,1.0,0.913,1.0,0.988,1.0,1.0,0.926,0.801
1FQZ_1_A,1.0,1.0,0.204,1.0,0.816,1.0,1.0,0.0,1.0,1.0,1.0
1FUF_1_A-B,0.0,0.0,0.12,0.0,0.0,0.424,0.0,0.0,0.0,0.0,0.559
1FYO_1_A,1.0,1.0,0.333,0.943,0.943,0.943,0.943,0.882,1.0,1.0,1.0
1FYP_1_A,1.0,1.0,0.333,0.943,0.943,0.943,0.943,0.882,1.0,1.0,1.0
1G1X_1_D-E,0.762,0.815,0.128,0.808,0.808,0.868,0.667,0.654,0.679,0.837,0.668
1G1X_1_J-I,0.762,0.815,0.068,0.635,0.793,0.852,0.667,0.654,0.679,0.822,0.668
1G59_1_B,0.977,0.977,0.977,0.977,0.93,0.977,0.744,0.715,0.977,0.977,0.977
1G59_1_D,0.977,0.977,0.977,0.977,0.93,0.977,0.744,0.715,0.977,0.977,0.977
1G70_1_A,1.0,1.0,0.246,0.905,0.953,1.0,1.0,0.953,1.0,1.0,1.0
1GAX_1_C,0.977,0.977,0.977,0.93,0.93,0.977,0.977,0.524,0.977,1.0,0.977
1GAX_1_D,0.977,0.977,0.977,0.93,0.93,0.977,0.977,0.569,0.977,1.0,0.977
1GID_1_A,0.915,0.907,0.0,0.904,0.468,0.667,0.783,0.894,0.905,0.623,0.845
1GID_1_B,0.915,0.907,0.0,0.904,0.468,0.667,0.783,0.894,0.905,0.623,0.845
1GRZ_1_A,0.868,0.839,0.133,0.86,0.675,0.778,0.846,0.573,0.803,0.613,0.837
1GRZ_1_B,0.877,0.853,0.119,0.878,0.702,0.787,0.862,0.837,0.85,0.654,0.834
1GTR_1_B,0.975,0.975,0.598,0.923,0.975,0.975,0.488,0.975,0.975,0.975,0.975
1GTS_1_B,0.975,0.975,0.598,0.923,0.975,0.975,0.488,0.975,0.975,0.975,0.975
1GUC_1_A-B,0.707,1.0,0.177,0.866,0.866,0.866,0.707,0.0,0.866,0.935,0.866
1H3E_1_B,0.384,0.611,0.566,0.539,0.698,0.98,0.768,0.938,0.98,0.98,0.853
1H4Q_1_T,0.949,0.5,0.346,0.577,0.559,0.474,0.75,0.769,0.316,0.975,0.85
1H4S_1_T,0.949,0.5,0.346,0.577,0.559,0.474,0.75,0.769,0.316,0.975,0.85
1HC8_1_C,0.964,0.964,0.0,0.802,0.667,0.519,0.519,0.964,0.964,0.845,0.964
1HC8_1_D,0.964,0.964,0.0,0.802,0.667,0.519,0.519,0.964,0.964,0.845,0.964
1HJI_1_A,1.0,1.0,0.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.8
1HLX_1_A,1.0,1.0,0.474,1.0,1.0,1.0,1.0,0.935,1.0,1.0,1.0
1HMH_1_A,1.0,1.0,0.289,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1HMH_1_C,1.0,1.0,0.289,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1HMH_1_E,1.0,1.0,0.289,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1HQ1_1_B,1.0,1.0,0.129,0.931,0.931,1.0,1.0,1.0,1.0,1.0,1.0
1HR2_1_A,0.923,0.913,0.0,0.832,0.779,0.689,0.783,0.576,0.901,0.568,0.839
1HR2_1_B,0.913,0.894,0.0,0.836,0.833,0.674,0.765,0.88,0.872,0.551,0.842
1HS1_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1HS2_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1HS3_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1HS4_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1HS8_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1HVU_1_C,0.645,0.775,0.0,0.949,0.775,0.632,0.632,0.632,0.632,0.949,0.894
1HVU_1_F,0.645,0.775,0.0,0.949,0.775,0.632,0.632,0.632,0.632,0.949,0.894
1HVU_1_I,0.645,0.775,0.0,0.949,0.775,0.632,0.632,0.632,0.632,0.949,0.894
1HVU_1_L,0.645,0.775,0.0,0.949,0.775,0.632,0.632,0.632,0.632,0.949,0.894
1HWQ_1_A,1.0,1.0,0.136,1.0,0.943,1.0,1.0,0.943,1.0,1.0,1.0
1I3X_1_A,1.0,1.0,0.378,1.0,1.0,1.0,1.0,0.926,1.0,1.0,1.0
1I3Y_8_A,1.0,1.0,0.267,1.0,1.0,1.0,1.0,0.926,1.0,1.0,1.0
1I46_1_A,1.0,1.0,0.447,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1I4B_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1I4C_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1I6U_1_C,1.0,0.867,0.082,0.897,0.933,0.867,0.867,0.828,0.867,1.0,0.867
1I6U_1_D,1.0,0.867,0.082,0.897,0.933,0.867,0.867,0.828,0.867,1.0,0.867
1I9F_5_A,1.0,1.0,0.354,1.0,0.957,1.0,1.0,0.957,1.0,1.0,1.0
1I9V_1_A,0.951,0.635,0.772,0.781,0.635,0.976,0.951,0.303,0.976,0.976,0.976
1I9X_1_A-B,0.655,1.0,0.118,0.913,0.866,0.73,0.822,0.77,0.822,0.957,1.0
1IBL_1_Y-Z,0.756,0.756,0.267,0.756,0.756,0.756,0.756,0.655,0.756,0.756,0.676
1IBM_1_Y-Z,0.707,0.0,0.354,0.707,0.707,0.0,0.0,0.0,0.0,0.707,0.707
1ICG_1_A-B,0.707,0.577,0.0,0.365,0.0,0.707,0.0,0.0,0.0,0.0,0.913
1ID9_1_A-B,0.707,0.577,0.0,0.365,0.0,0.707,0.0,0.0,0.0,0.0,0.913
1IDV_1_A,1.0,1.0,0.577,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
1IDW_1_A-B,0.707,0.577,0.0,0.365,0.0,0.707,0.0,0.0,0.0,0.0,0.913
1IE1_4_A,1.0,1.0,0.354,1.0,1.0,1.0,1.0,0.866,1.0,1.0,1.0
1IE2_16_A,0.816,0.816,0.236,0.816,0.816,0.816,0.816,0.707,0.816,0.913,0.816
1IHA_1_A-B,0.707,0.577,0.0,0.365,0.0,0.707,0.0,0.0,0.0,0.0,0.913
1IK1_1_A,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1IK5_1_A-B,0.0,0.0,0.126,0.0,0.0,0.707,0.0,0.0,0.0,0.0,0.667
1IKD_24_A,1.0,1.0,0.218,1.0,1.0,1.0,1.0,0.926,1.0,1.0,1.0
1IL2_1_C,0.705,0.615,0.085,0.359,0.488,0.738,0.369,0.359,0.564,0.975,0.564
1IL2_1_D,0.688,0.509,0.229,0.375,0.415,0.723,0.334,0.324,0.541,0.918,0.636
1IVS_1_C,0.977,0.977,0.977,0.93,0.93,0.977,0.977,0.524,0.977,1.0,0.977
1IVS_1_D,0.977,0.977,0.977,0.93,0.93,0.977,0.977,0.569,0.977,1.0,0.977
1J1U_1_B,0.977,0.298,0.977,0.578,0.621,0.977,0.955,0.953,0.977,1.0,0.977
1J2B_1_C,0.918,0.947,0.842,0.895,0.895,0.842,0.718,0.324,0.737,0.821,0.842
1J2B_1_D,0.835,0.851,0.265,0.872,0.821,0.769,0.769,0.579,0.379,0.769,0.811
1J4Y_1_A,0.913,1.0,0.408,1.0,0.833,1.0,1.0,0.913,1.0,1.0,1.0
1J7T_1_A-B,0.935,1.0,0.189,0.829,0.829,0.935,0.935,0.763,0.802,0.866,0.869
1J9H_1_A-B,0.408,0.309,0.0,0.365,0.365,0.365,0.365,0.365,0.365,0.333,0.0
1J9H_1_C-D,0.408,0.309,0.0,0.365,0.365,0.365,0.365,0.365,0.365,0.333,0.0
1JBR_1_C-F,0.935,0.935,0.204,0.935,0.935,0.875,0.935,0.866,0.875,0.935,0.935
1JBR_1_D,0.935,1.0,0.354,0.935,1.0,1.0,1.0,0.866,0.875,0.935,1.0
1JBS_1_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1JBS_1_D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1JBT_1_C,0.845,0.926,0.0,0.926,1.0,1.0,1.0,0.845,0.857,0.926,0.926
1JBT_1_D,0.845,0.926,0.0,0.926,1.0,1.0,1.0,0.845,0.857,0.926,0.926
1JGO_1_B,0.458,0.63,0.083,0.548,0.497,0.972,0.476,0.236,0.476,0.756,0.548
1JGO_1_C,0.42,0.605,0.092,0.519,0.46,0.97,0.439,0.243,0.439,0.74,0.519
1JGO_1_D,0.239,0.503,0.0,0.615,0.843,0.839,0.894,0.949,0.843,0.894,0.894
1JGP_1_B,0.458,0.63,0.083,0.548,0.497,0.972,0.476,0.236,0.476,0.756,0.548
1JGP_1_C,0.42,0.605,0.092,0.519,0.46,0.97,0.439,0.243,0.439,0.74,0.519
1JGP_1_D,0.239,0.503,0.0,0.615,0.843,0.839,0.894,0.949,0.843,0.894,0.894
1JGQ_1_B,0.458,0.63,0.083,0.548,0.497,0.972,0.476,0.236,0.476,0.756,0.548
1JGQ_1_C,0.42,0.605,0.092,0.519,0.46,0.97,0.439,0.243,0.439,0.74,0.519
1JGQ_1_D,0.239,0.503,0.0,0.615,0.843,0.839,0.894,0.949,0.843,0.894,0.894
1JID_1_B,0.5,0.5,0.204,0.5,0.5,0.5,0.5,0.5,0.5,0.577,0.5
1JJ2_1_9,0.985,0.925,0.985,0.925,0.849,0.893,0.893,0.925,0.925,0.985,0.985
1JO7_18_A,1.0,1.0,0.224,0.949,1.0,0.949,0.949,0.949,1.0,1.0,0.9
1JOX_1_A,1.0,1.0,0.218,1.0,1.0,1.0,1.0,0.926,1.0,1.0,1.0
1JP0_1_A,1.0,1.0,0.218,1.0,1.0,1.0,1.0,0.926,1.0,1.0,1.0
1JTJ_1_A,0.845,1.0,0.378,1.0,1.0,1.0,1.0,0.926,1.0,1.0,1.0
1JTW_5_A,1.0,1.0,0.632,1.0,0.8,1.0,0.775,1.0,1.0,1.0,1.0
1JU1_1_A-B,0.922,1.0,0.158,0.949,0.922,0.949,0.949,0.922,0.949,0.975,1.0
1JU7_1_A,1.0,1.0,0.236,1.0,1.0,1.0,1.0,0.913,1.0,1.0,1.0
1JUR_1_A,1.0,1.0,0.354,1.0,1.0,1.0,1.0,0.935,1.0,1.0,1.0
1JWC_1_A,1.0,1.0,0.236,1.0,1.0,1.0,1.0,0.913,1.0,1.0,1.0
1JZC_1_A,0.894,1.0,0.447,1.0,1.0,1.0,1.0,0.894,1.0,1.0,1.0
1JZV_1_B-A,0.471,0.471,0.408,0.471,0.73,0.471,0.471,0.471,0.471,0.471,0.471
1JZV_1_D-C,0.471,0.471,0.408,0.471,0.73,0.471,0.471,0.471,0.471,0.471,0.471
1K2G_1_A,0.913,0.707,0.0,0.707,0.913,0.913,0.707,0.707,0.707,0.612,0.833
